# Tempo 	 Fila 
5 	 1 
8 	 2 
9 	 3 
18 	 4 
24 	 5 
27 	 6 
35 	 7 
46 	 1 
57 	 2 
72 	 3 
85 	 4 
98 	 5 
112 	 6 
129 	 7 
148 	 8 
166 	 9 
184 	 10 
213 	 1 
235 	 2 
264 	 3 
285 	 4 
309 	 5 
335 	 6 
363 	 7 
384 	 8 
408 	 9 
435 	 10 
464 	 11 
492 	 12 
532 	 1 
568 	 2 
602 	 3 
634 	 4 
673 	 5 
707 	 6 
747 	 7 
778 	 8 
810 	 9 
850 	 10 
884 	 11 
916 	 12 
953 	 13 
988 	 14 
1037 	 1 
1083 	 2 
1126 	 3 
1170 	 4 
1216 	 5 
1257 	 6 
1300 	 7 
1343 	 8 
1399 	 1 
1453 	 2 
1505 	 3 
1564 	 4 
1622 	 5 
1684 	 1 
1747 	 2 
1814 	 3 
1876 	 4 
1943 	 5 
2012 	 6 
2074 	 7 
2141 	 8 
2206 	 9 
2273 	 10 
2343 	 11 
2407 	 12 
2484 	 1 
2556 	 2 
2632 	 3 
2708 	 4 
2787 	 5 
2862 	 6 
2936 	 7 
3019 	 1 
3105 	 2 
3195 	 3 
3277 	 4 
3361 	 5 
3445 	 6 
3527 	 7 
3614 	 8 
3702 	 9 
3788 	 10 
3869 	 11 
3955 	 12 
4042 	 13 
4135 	 1 
4228 	 2 
4326 	 3 
4417 	 4 
4513 	 5 
4607 	 6 
4702 	 7 
4799 	 8 
4896 	 9 
4993 	 10 
5089 	 11 
5182 	 12 
